arrangement_id,subset,subset_size,rank,projective_dimension_estimate,labels
84,"0,4,5,7",4,4,-1,"p1,p5,p6,p8"
84,"0,4,6,7",4,4,-1,"p1,p5,p7,p8"
84,"0,5,6,7",4,4,-1,"p1,p6,p7,p8"
84,"1,2,3,4",4,4,-1,"p2,p3,p4,p5"
84,"1,2,3,5",4,4,-1,"p2,p3,p4,p6"
84,"1,2,3,6",4,4,-1,"p2,p3,p4,p7"
84,"1,2,3,7",4,4,-1,"p2,p3,p4,p8"
84,"1,2,4,5",4,4,-1,"p2,p3,p5,p6"
84,"1,2,4,6",4,4,-1,"p2,p3,p5,p7"
84,"1,2,4,7",4,4,-1,"p2,p3,p5,p8"
84,"1,2,5,6",4,3,0,"p2,p3,p6,p7"
84,"1,2,5,7",4,4,-1,"p2,p3,p6,p8"
84,"1,2,6,7",4,4,-1,"p2,p3,p7,p8"
84,"1,3,4,5",4,4,-1,"p2,p4,p5,p6"
84,"1,3,4,6",4,3,0,"p2,p4,p5,p7"
84,"1,3,4,7",4,4,-1,"p2,p4,p5,p8"
84,"1,3,5,6",4,4,-1,"p2,p4,p6,p7"
84,"1,3,5,7",4,4,-1,"p2,p4,p6,p8"
84,"1,3,6,7",4,4,-1,"p2,p4,p7,p8"
84,"1,4,5,6",4,4,-1,"p2,p5,p6,p7"
84,"1,4,5,7",4,4,-1,"p2,p5,p6,p8"
84,"1,4,6,7",4,4,-1,"p2,p5,p7,p8"
84,"1,5,6,7",4,4,-1,"p2,p6,p7,p8"
84,"2,3,4,5",4,3,0,"p3,p4,p5,p6"
84,"2,3,4,6",4,4,-1,"p3,p4,p5,p7"
84,"2,3,4,7",4,4,-1,"p3,p4,p5,p8"
84,"2,3,5,6",4,4,-1,"p3,p4,p6,p7"
84,"2,3,5,7",4,4,-1,"p3,p4,p6,p8"
84,"2,3,6,7",4,3,0,"p3,p4,p7,p8"
84,"2,4,5,6",4,4,-1,"p3,p5,p6,p7"
84,"2,4,5,7",4,4,-1,"p3,p5,p6,p8"
84,"2,4,6,7",4,4,-1,"p3,p5,p7,p8"
84,"2,5,6,7",4,4,-1,"p3,p6,p7,p8"
84,"3,4,5,6",4,4,-1,"p4,p5,p6,p7"
84,"3,4,5,7",4,4,-1,"p4,p5,p6,p8"
84,"3,4,6,7",4,4,-1,"p4,p5,p7,p8"
84,"3,5,6,7",4,4,-1,"p4,p6,p7,p8"
84,"4,5,6,7",4,3,0,"p5,p6,p7,p8"
84,"0,1,2,3,4",5,4,-1,"p1,p2,p3,p4,p5"
84,"0,1,2,3,5",5,4,-1,"p1,p2,p3,p4,p6"
84,"0,1,2,3,6",5,4,-1,"p1,p2,p3,p4,p7"
84,"0,1,2,3,7",5,4,-1,"p1,p2,p3,p4,p8"
84,"0,1,2,4,5",5,4,-1,"p1,p2,p3,p5,p6"
84,"0,1,2,4,6",5,4,-1,"p1,p2,p3,p5,p7"
84,"0,1,2,4,7",5,4,-1,"p1,p2,p3,p5,p8"
84,"0,1,2,5,6",5,4,-1,"p1,p2,p3,p6,p7"
84,"0,1,2,5,7",5,4,-1,"p1,p2,p3,p6,p8"
84,"0,1,2,6,7",5,4,-1,"p1,p2,p3,p7,p8"
84,"0,1,3,4,5",5,4,-1,"p1,p2,p4,p5,p6"
84,"0,1,3,4,6",5,4,-1,"p1,p2,p4,p5,p7"
84,"0,1,3,4,7",5,4,-1,"p1,p2,p4,p5,p8"
84,"0,1,3,5,6",5,4,-1,"p1,p2,p4,p6,p7"
84,"0,1,3,5,7",5,4,-1,"p1,p2,p4,p6,p8"
84,"0,1,3,6,7",5,4,-1,"p1,p2,p4,p7,p8"
84,"0,1,4,5,6",5,4,-1,"p1,p2,p5,p6,p7"
84,"0,1,4,5,7",5,4,-1,"p1,p2,p5,p6,p8"
84,"0,1,4,6,7",5,4,-1,"p1,p2,p5,p7,p8"
84,"0,1,5,6,7",5,4,-1,"p1,p2,p6,p7,p8"
84,"0,2,3,4,5",5,4,-1,"p1,p3,p4,p5,p6"
84,"0,2,3,4,6",5,4,-1,"p1,p3,p4,p5,p7"
84,"0,2,3,4,7",5,4,-1,"p1,p3,p4,p5,p8"
84,"0,2,3,5,6",5,4,-1,"p1,p3,p4,p6,p7"
84,"0,2,3,5,7",5,4,-1,"p1,p3,p4,p6,p8"
84,"0,2,3,6,7",5,4,-1,"p1,p3,p4,p7,p8"
84,"0,2,4,5,6",5,4,-1,"p1,p3,p5,p6,p7"
84,"0,2,4,5,7",5,4,-1,"p1,p3,p5,p6,p8"
84,"0,2,4,6,7",5,4,-1,"p1,p3,p5,p7,p8"
84,"0,2,5,6,7",5,4,-1,"p1,p3,p6,p7,p8"
84,"0,3,4,5,6",5,4,-1,"p1,p4,p5,p6,p7"
84,"0,3,4,5,7",5,4,-1,"p1,p4,p5,p6,p8"
84,"0,3,4,6,7",5,4,-1,"p1,p4,p5,p7,p8"
84,"0,3,5,6,7",5,4,-1,"p1,p4,p6,p7,p8"
84,"0,4,5,6,7",5,4,-1,"p1,p5,p6,p7,p8"
84,"1,2,3,4,5",5,4,-1,"p2,p3,p4,p5,p6"
84,"1,2,3,4,6",5,4,-1,"p2,p3,p4,p5,p7"
84,"1,2,3,4,7",5,4,-1,"p2,p3,p4,p5,p8"
84,"1,2,3,5,6",5,4,-1,"p2,p3,p4,p6,p7"
84,"1,2,3,5,7",5,4,-1,"p2,p3,p4,p6,p8"
84,"1,2,3,6,7",5,4,-1,"p2,p3,p4,p7,p8"
84,"1,2,4,5,6",5,4,-1,"p2,p3,p5,p6,p7"
84,"1,2,4,5,7",5,4,-1,"p2,p3,p5,p6,p8"
84,"1,2,4,6,7",5,4,-1,"p2,p3,p5,p7,p8"
84,"1,2,5,6,7",5,4,-1,"p2,p3,p6,p7,p8"
84,"1,3,4,5,6",5,4,-1,"p2,p4,p5,p6,p7"
84,"1,3,4,5,7",5,4,-1,"p2,p4,p5,p6,p8"
84,"1,3,4,6,7",5,4,-1,"p2,p4,p5,p7,p8"
84,"1,3,5,6,7",5,4,-1,"p2,p4,p6,p7,p8"
84,"1,4,5,6,7",5,4,-1,"p2,p5,p6,p7,p8"
84,"2,3,4,5,6",5,4,-1,"p3,p4,p5,p6,p7"
84,"2,3,4,5,7",5,4,-1,"p3,p4,p5,p6,p8"
84,"2,3,4,6,7",5,4,-1,"p3,p4,p5,p7,p8"
84,"2,3,5,6,7",5,4,-1,"p3,p4,p6,p7,p8"
84,"2,4,5,6,7",5,4,-1,"p3,p5,p6,p7,p8"
84,"3,4,5,6,7",5,4,-1,"p4,p5,p6,p7,p8"
84,"0,1,2,3,4,5",6,4,-1,"p1,p2,p3,p4,p5,p6"
84,"0,1,2,3,4,6",6,4,-1,"p1,p2,p3,p4,p5,p7"
84,"0,1,2,3,4,7",6,4,-1,"p1,p2,p3,p4,p5,p8"
84,"0,1,2,3,5,6",6,4,-1,"p1,p2,p3,p4,p6,p7"
84,"0,1,2,3,5,7",6,4,-1,"p1,p2,p3,p4,p6,p8"
84,"0,1,2,3,6,7",6,4,-1,"p1,p2,p3,p4,p7,p8"
84,"0,1,2,4,5,6",6,4,-1,"p1,p2,p3,p5,p6,p7"
84,"0,1,2,4,5,7",6,4,-1,"p1,p2,p3,p5,p6,p8"
84,"0,1,2,4,6,7",6,4,-1,"p1,p2,p3,p5,p7,p8"
84,"0,1,2,5,6,7",6,4,-1,"p1,p2,p3,p6,p7,p8"
84,"0,1,3,4,5,6",6,4,-1,"p1,p2,p4,p5,p6,p7"
84,"0,1,3,4,5,7",6,4,-1,"p1,p2,p4,p5,p6,p8"
84,"0,1,3,4,6,7",6,4,-1,"p1,p2,p4,p5,p7,p8"
84,"0,1,3,5,6,7",6,4,-1,"p1,p2,p4,p6,p7,p8"
84,"0,1,4,5,6,7",6,4,-1,"p1,p2,p5,p6,p7,p8"
84,"0,2,3,4,5,6",6,4,-1,"p1,p3,p4,p5,p6,p7"
84,"0,2,3,4,5,7",6,4,-1,"p1,p3,p4,p5,p6,p8"
84,"0,2,3,4,6,7",6,4,-1,"p1,p3,p4,p5,p7,p8"
84,"0,2,3,5,6,7",6,4,-1,"p1,p3,p4,p6,p7,p8"
84,"0,2,4,5,6,7",6,4,-1,"p1,p3,p5,p6,p7,p8"
84,"0,3,4,5,6,7",6,4,-1,"p1,p4,p5,p6,p7,p8"
84,"1,2,3,4,5,6",6,4,-1,"p2,p3,p4,p5,p6,p7"
84,"1,2,3,4,5,7",6,4,-1,"p2,p3,p4,p5,p6,p8"
84,"1,2,3,4,6,7",6,4,-1,"p2,p3,p4,p5,p7,p8"
84,"1,2,3,5,6,7",6,4,-1,"p2,p3,p4,p6,p7,p8"
84,"1,2,4,5,6,7",6,4,-1,"p2,p3,p5,p6,p7,p8"
84,"1,3,4,5,6,7",6,4,-1,"p2,p4,p5,p6,p7,p8"
84,"2,3,4,5,6,7",6,4,-1,"p3,p4,p5,p6,p7,p8"
84,"0,1,2,3,4,5,6",7,4,-1,"p1,p2,p3,p4,p5,p6,p7"
84,"0,1,2,3,4,5,7",7,4,-1,"p1,p2,p3,p4,p5,p6,p8"
84,"0,1,2,3,4,6,7",7,4,-1,"p1,p2,p3,p4,p5,p7,p8"
84,"0,1,2,3,5,6,7",7,4,-1,"p1,p2,p3,p4,p6,p7,p8"
84,"0,1,2,4,5,6,7",7,4,-1,"p1,p2,p3,p5,p6,p7,p8"
84,"0,1,3,4,5,6,7",7,4,-1,"p1,p2,p4,p5,p6,p7,p8"
84,"0,2,3,4,5,6,7",7,4,-1,"p1,p3,p4,p5,p6,p7,p8"
84,"1,2,3,4,5,6,7",7,4,-1,"p2,p3,p4,p5,p6,p7,p8"
84,"0,1,2,3,4,5,6,7",8,4,-1,"p1,p2,p3,p4,p5,p6,p7,p8"
